date,readiness_score,phase,cycle,cycle_day
8/29/22,89,1,1,1
8/30/22,78,1,1,2
8/31/22,82,1,1,3
9/1/22,78,1,1,4
9/2/22,82,1,1,5
9/3/22,91,1,1,6
9/4/22,88,1,1,7
9/5/22,90,2,1,8
9/6/22,95,2,1,9
9/7/22,88,2,1,10
9/8/22,87,2,1,11
9/9/22,94,2,1,12
9/10/22,84,2,1,13
9/11/22,94,2,1,14
9/12/22,94,2,1,15
9/13/22,85,2,1,16
9/14/22,81,2,1,17
9/15/22,84,2,1,18
9/16/22,81,2,1,19
9/17/22,88,2,1,20
9/18/22,77,2,1,21
9/19/22,82,2,1,22
9/20/22,81,2,1,23
9/21/22,76,4,1,24
9/22/22,88,4,1,25
9/23/22,81,4,1,26
9/24/22,84,4,1,27
9/25/22,81,4,1,28
9/26/22,90,4,1,29
9/27/22,87,1,2,1
9/28/22,85,1,2,2
9/29/22,90,1,2,3
9/30/22,85,1,2,4
10/1/22,79,1,2,5
10/2/22,87,1,2,6
10/3/22,81,1,2,7
10/4/22,86,2,2,8
10/5/22,80,2,2,9
10/6/22,88,2,2,10
10/7/22,87,2,2,11
10/8/22,84,2,2,12
10/9/22,77,2,2,13
10/10/22,90,2,2,14
10/11/22,95,2,2,15
10/12/22,92,2,2,16
10/13/22,80,2,2,17
10/14/22,90,2,2,18
10/15/22,87,2,2,19
10/16/22,86,2,2,20
10/17/22,90,4,2,21
10/18/22,94,4,2,22
10/19/22,84,4,2,23
10/20/22,78,4,2,24
10/21/22,79,4,2,25
10/22/22,69,4,2,26
10/23/22,76,4,2,27
10/24/22,68,4,2,28
10/25/22,84,4,2,29
10/26/22,89,4,2,30
10/27/22,84,4,2,31
10/28/22,76,1,3,1
10/29/22,78,1,3,2
10/30/22,71,1,3,3
10/31/22,85,1,3,4
11/1/22,78,1,3,5
11/2/22,82,1,3,6
11/3/22,93,1,3,7
11/4/22,82,2,3,8
11/5/22,82,2,3,9
11/6/22,94,2,3,10
11/7/22,82,2,3,11
11/8/22,86,2,3,12
11/9/22,82,2,3,13
11/10/22,83,2,3,14
11/11/22,88,2,3,15
11/12/22,85,4,3,16
11/13/22,62,4,3,17
11/14/22,84,4,3,18
11/15/22,74,4,3,19
11/16/22,71,4,3,20
11/17/22,66,4,3,21
11/18/22,61,4,3,22
11/19/22,61,4,3,23
11/20/22,72,4,3,24
11/21/22,64,4,3,25
11/22/22,67,4,3,26
11/23/22,88,1,4,1
11/24/22,84,1,4,2
11/25/22,79,1,4,3
11/26/22,75,1,4,4
11/27/22,70,1,4,5
11/28/22,52,1,4,6
11/29/22,70,1,4,7
11/30/22,76,2,4,8
12/1/22,84,2,4,9
12/2/22,67,2,4,10
12/3/22,84,2,4,11
12/4/22,75,2,4,12
12/5/22,78,2,4,13
12/6/22,81,2,4,14
12/7/22,78,2,4,15
12/8/22,76,2,4,16
12/9/22,80,2,4,17
12/10/22,79,2,4,18
12/11/22,78,2,4,19
12/12/22,77,2,4,20
12/13/22,88,2,4,21
12/14/22,75,4,4,22
12/15/22,82,4,4,23
12/16/22,86,4,4,24
12/17/22,73,4,4,25
12/18/22,72,4,4,26
12/19/22,82,4,4,27
12/20/22,82,4,4,28
12/21/22,92,4,4,29
12/22/22,79,4,4,30
12/23/22,79,4,4,31
12/24/22,88,4,4,32
12/25/22,77,4,4,33
12/26/22,88,1,5,1
12/27/22,77,1,5,2
12/29/22,88,1,5,3
12/30/22,87,1,5,4
12/31/22,83,1,5,5
1/1/23,83,1,5,6
1/2/23,83,1,5,7
1/3/23,85,2,5,8
1/4/23,93,2,5,9
1/5/23,83,2,5,10
1/6/23,73,2,5,11
1/7/23,53,2,5,12
1/9/23,64,2,5,13
1/10/23,75,2,5,14
1/11/23,71,2,5,15
1/12/23,71,2,5,16
1/13/23,71,2,5,17
1/14/23,71,2,5,18
1/15/23,88,2,5,19
1/16/23,80,4,5,20
1/17/23,79,4,5,21
1/18/23,89,4,5,22
1/19/23,87,4,5,23
1/19/23,89,4,5,24
1/20/23,85,4,5,25
1/21/23,86,4,5,26
1/22/23,86,4,5,27
,,,,
,,,,