date,sleep_score,temperature,phase,cycle,cycle_day
2022-08-29,88,96.78,1,1,1
2022-08-30,77,96.85,1,1,2
2022-08-31,84,96.60,1,1,3
2022-09-01,79,97.07,1,1,4
2022-09-02,75,96.89,1,1,5
2022-09-03,86,97.03,1,1,6
2022-09-04,86,97.27,1,1,7
2022-09-05,81,96.91,2,1,8
2022-09-06,86,97.00,2,1,9
2022-09-07,90,96.98,2,1,10
2022-09-08,83,96.93,2,1,11
2022-09-09,86,96.87,2,1,12
2022-09-10,83,96.69,2,1,13
2022-09-11,85,96.73,2,1,14
2022-09-12,92,96.60,2,1,15
2022-09-13,86,97.00,2,1,16
2022-09-14,79,97.09,2,1,17
2022-09-15,85,96.75,2,1,18
2022-09-16,79,96.91,2,1,19
2022-09-17,91,97.29,2,1,20
2022-09-18,79,96.75,2,1,21
2022-09-19,83,97.04,2,1,22
2022-09-20,86,97.32,2,1,23
2022-09-21,92,97.93,4,1,24
2022-09-22,90,97.45,4,1,25
2022-09-23,83,97.43,4,1,26
2022-09-24,84,97.65,4,1,27
2022-09-25,86,97.54,4,1,28
2022-09-26,84,96.98,4,1,29
2022-09-27,82,97.21,1,2,1
2022-09-28,91,96.71,1,2,2
2022-09-29,92,97.07,1,2,3
2022-09-30,90,97.21,1,2,4
2022-10-01,81,96.39,1,2,5
2022-10-02,91,96.78,1,2,6
2022-10-03,88,97.20,1,2,7
2022-10-04,89,97.25,2,2,8
2022-10-05,92,97.36,2,2,9
2022-10-06,92,96.96,2,2,10
2022-10-07,88,97.21,2,2,11
2022-10-08,86,96.96,2,2,12
2022-10-09,72,96.62,2,2,13
2022-10-10,92,96.33,2,2,14
2022-10-11,91,96.67,2,2,15
2022-10-12,89,97.02,2,2,16
2022-10-13,81,97.14,2,2,17
2022-10-14,89,96.93,2,2,18
2022-10-15,83,97.16,2,2,19
2022-10-16,80,97.21,2,2,20
2022-10-17,90,97.43,4,2,21
2022-10-18,95,97.43,4,2,22
2022-10-19,90,97.45,4,2,23
2022-10-20,88,97.79,4,2,24
2022-10-21,89,97.81,4,2,25
2022-10-22,83,98.04,4,2,26
2022-10-23,76,97.36,4,2,27
2022-10-24,93,98.26,4,2,28
2022-10-25,84,97.66,4,2,29
2022-10-26,90,97.65,4,2,30
2022-10-27,94,97.38,4,2,31
2022-10-28,87,97.21,1,3,1
2022-10-29,77,96.58,1,3,2
2022-10-30,69,96.57,1,3,3
2022-10-31,91,97.12,1,3,4
2022-11-01,91,97.34,1,3,5
2022-11-02,87,97.00,1,3,6
2022-11-03,92,96.94,1,3,7
2022-11-04,84,96.78,2,3,8
2022-11-05,86,96.84,2,3,9
2022-11-06,90,96.89,2,3,10
2022-11-07,86,96.94,2,3,11
2022-11-08,86,97.30,2,3,12
2022-11-09,82,96.96,2,3,13
2022-11-10,82,96.69,2,3,14
2022-11-11,86,97.00,2,3,15
2022-11-12,88,97.38,4,3,16
2022-11-13,56,97.39,4,3,17
2022-11-14,92,97.47,4,3,18
2022-11-15,76,97.74,4,3,19
2022-11-16,73,97.54,4,3,20
2022-11-17,74,97.54,4,3,21
2022-11-18,74,97.54,4,3,22
2022-11-19,75,97.48,4,3,23
2022-11-20,87,97.38,4,3,24
2022-11-21,74,97.38,4,3,25
2022-11-22,87,96.87,4,3,26
2022-11-23,91,96.93,1,4,1
2022-11-24,91,96.92,1,4,2
2022-11-25,90,96.91,1,4,3
2022-11-26,90,96.90,1,4,4
2022-11-27,89,96.89,1,4,5
2022-11-28,59,97.16,1,4,6
2022-11-29,72,96.87,1,4,7
2022-11-30,96,96.62,2,4,8
2022-12-01,90,96.89,2,4,9
2022-12-02,79,96.71,2,4,10
2022-12-03,89,96.66,2,4,11
2022-12-04,85,97.00,2,4,12
2022-12-05,88,96.60,2,4,13
2022-12-06,88,96.62,2,4,14
2022-12-07,78,96.85,2,4,15
2022-12-08,78,97.18,2,4,16
2022-12-09,79,97.02,2,4,17
2022-12-10,83,96.95,2,4,18
2022-12-11,86,96.87,2,4,19
2022-12-12,92,97.39,2,4,20
2022-12-13,88,96.98,2,4,21
2022-12-14,91,97.34,4,4,22
2022-12-15,86,97.20,4,4,23
2022-12-16,87,97.63,4,4,24
2022-12-17,83,97.92,4,4,25
2022-12-18,82,97.45,4,4,26
2022-12-19,85,97.43,4,4,27
2022-12-20,82,97.59,4,4,28
2022-12-21,90,97.43,4,4,29
2022-12-22,75,97.50,4,4,30
2022-12-23,74,97.41,4,4,31
2022-12-24,86,97.48,4,4,32
2022-12-25,81,97.68,4,4,33
2022-12-26,85,96.58,1,5,1
2022-12-27,77,96.76,1,5,2
2022-12-28,82,96.76,1,5,3
2022-12-29,87,96.76,1,5,4
2022-12-30,93,97.00,1,5,5
2022-12-31,86,96.94,1,5,6
2023-01-01,86,96.94,1,5,7
2023-01-02,90,96.93,2,5,8
2023-01-03,92,96.89,2,5,9
2023-01-04,94,96.84,2,5,10
2023-01-05,88,96.87,2,5,11
2023-01-06,82,96.89,2,5,12
2023-01-07,68,96.64,2,5,13
2023-01-08,70,96.66,2,5,14
2023-01-09,72,96.69,2,5,15
2023-01-10,91,97.03,2,5,16
2023-01-11,79,97.43,2,5,17
2023-01-12,79,97.43,2,5,18
2023-01-13,79,97.43,2,5,19
2023-01-14,79,97.43,2,5,20
2023-01-15,84,97.92,4,5,21
2023-01-16,86,98.15,4,5,22
2023-01-17,90,97.23,4,5,23
2023-01-18,89,97.77,4,5,24
2023-01-19,76,97.54,4,5,25
2023-01-20,78,97.27,4,5,26
2023-01-21,78,97.12,4,5,27
2023-01-22,78,96.96,4,5,28